67.1,#9fc600,#000000
66.9,#adc700,#000000
66.6,#adc700,#000000
66.5,#adc700,#000000
66.3,#adc700,#000000
66.2,#adc700,#000000
66,#adc700,#000000
65.9,#bbc900,#000000
65.8,#bbc900,#000000
65.5,#bbc900,#000000
65.4,#bbc900,#000000
65.1,#bbc900,#000000
65,#bbc900,#000000
64.9,#c8ca00,#000000
64.6,#c8ca00,#000000
64.4,#c8ca00,#000000
64.3,#c8ca00,#000000
64.2,#c8ca00,#000000
63.8,#d6cc00,#000000
63.7,#d6cc00,#000000
63.6,#d6cc00,#000000
63.5,#d6cc00,#000000
63.3,#d6cc00,#000000
63.2,#d6cc00,#000000
63.1,#d6cc00,#000000
63,#d6cc00,#000000
62.8,#e4cd00,#000000
62.6,#e4cd00,#000000
62.5,#e4cd00,#000000
62.4,#e4cd00,#000000
62.3,#e4cd00,#000000
62.2,#e4cd00,#000000
62.1,#e4cd00,#000000
62,#e4cd00,#000000
61.9,#f1cf00,#000000
61.7,#f1cf00,#000000
61.6,#f1cf00,#000000
61.5,#f1cf00,#000000
61.4,#f1cf00,#000000
61.3,#f1cf00,#000000
61.2,#f1cf00,#000000
60.9,#ffd000,#000000
60.8,#ffd000,#000000
60.7,#ffd000,#000000
60.6,#ffd000,#000000
60.4,#ffd000,#000000
60.3,#ffd000,#000000
60.2,#ffd000,#000000
60.1,#ffd000,#000000
60,#ffd000,#000000
59.5,#ffcb00,#000000
59.3,#ffcb00,#000000
59.2,#ffcb00,#000000
59,#ffcb00,#000000
58.9,#ffc600,#000000
58.6,#ffc600,#000000
58.5,#ffc600,#000000
58.4,#ffc600,#000000
58.3,#ffc600,#000000
58.2,#ffc600,#000000
58.1,#ffc600,#000000
57.9,#ffc100,#000000
57.7,#ffc100,#000000
57.6,#ffc100,#000000
57.4,#ffc100,#000000
57.2,#ffc100,#000000
56.9,#febb00,#000000
56.6,#febb00,#000000
56.4,#febb00,#000000
56.3,#febb00,#000000
55.7,#feb600,#000000
55.5,#feb600,#000000
55.4,#feb600,#000000
55.2,#feb600,#000000
55.1,#feb600,#000000
55,#feb600,#000000
54.8,#feb100,#000000
54.5,#feb100,#000000
54.4,#feb100,#000000
54.3,#feb100,#000000
54.1,#feb100,#000000
54,#feb100,#000000
53.9,#feac00,#000000
53.8,#feac00,#000000
53.7,#feac00,#000000
53.6,#feac00,#000000
53.5,#feac00,#000000
53.3,#feac00,#000000
53.1,#feac00,#000000
53,#feac00,#000000
52.9,#fea700,#000000
52.8,#fea700,#000000
52.7,#fea700,#000000
52.5,#fea700,#000000
52.3,#fea700,#000000
52.1,#fea700,#000000
51.9,#fea200,#000000
51.4,#fea200,#000000
51.3,#fea200,#000000
51.2,#fea200,#000000
50.6,#fe9d00,#000000
50.3,#fe9d00,#000000
50.1,#fe9d00,#000000
50,#fe9d00,#000000
49.9,#fd9700,#000000
49.8,#fd9700,#000000
49.6,#fd9700,#000000
49.5,#fd9700,#000000
49.3,#fd9700,#000000
48.9,#fd9200,#000000
48.8,#fd9200,#000000
48.6,#fd9200,#000000
48.5,#fd9200,#000000
48,#fd9200,#000000
47.5,#fd8d00,#000000
47.2,#fd8d00,#000000
47.1,#fd8d00,#000000
46.8,#fd8800,#000000
46.7,#fd8800,#000000
46.5,#fd8800,#000000
46.2,#fd8800,#000000
46.1,#fd8800,#000000
46,#fd8800,#000000
45.8,#fd8300,#000000
45,#fd8300,#000000
44.4,#fd7e00,#000000
44.2,#fd7e00,#000000
40.7,#fc6900,#000000
40.5,#fc6900,#000000
39.8,#f96502,#000000
39.5,#f96502,#000000
39.1,#f96502,#000000
38.3,#f76104,#000000
38.1,#f76104,#000000
38,#f76104,#000000
37.5,#f45d06,#000000
36.9,#f15908,#000000
36.8,#f15908,#000000
34.7,#ec520d,#000000
34.6,#ec520d,#000000
33.8,#e94e0f,#000000
32.6,#e64a11,#000000
32.4,#e64a11,#000000
31.3,#e44613,#000000
31.1,#e44613,#000000
30.6,#e14215,#000000
26.2,#d6321d,#000000
22.2,#cb2326,#000000
20.9,#c61b2a,#000000
15,#c61b2a,#000000
